genus	primary_lifestyle	secondary_lifestyle	plant_endophytic_capability	plant_pathogenic_capacity	decay_substrate	decay_type	aquatic_habitat	animal_biotrophic	specific_host	growth_form	fruitbody_type	hymenium_type	ectomycorrhiza_exploration_type	ectomycorrhiza_lineage	primary_photobiont	secondary_photobiont
Trichopeltella	litter_saprotroph		no_endophytic_capacity		leaf/fruit/seed		non-aquatic			filamentous_mycelium	"thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle)"	closed				
Trichopeltheca	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle)"	closed				
Trichopeltina	plant_pathogen	epiphyte	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle)"	closed				
Trichothyrinula	mycoparasite	fungal_decomposer	no_endophytic_capacity		fungal_material		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Macrographa	lichenized						non-aquatic			thallus_photosynthetic						
Blasdalea	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Licopolia	litter_saprotroph		no_endophytic_capacity		leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Vizella	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle)"	closed				
Dyfrolomyces	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Melomastia	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Pleurotrema	wood_saprotroph				wood		non-aquatic			filamentous_mycelium						
Encephalographa	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			trentepohlioid	
Melaspilea	lichenized						partly_aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			trentepohlioid	
Cenococcum	ectomycorrhizal						non-aquatic			filamentous_mycelium	None	none	short-distance_coarse	/cenococcum		
Glonium	wood_saprotroph	soil_saprotroph			"wood,leaf/fruit/seed,soil"		non-aquatic			filamentous_mycelium						
Pseudocenococcum	soil_saprotroph				soil		non-aquatic			filamentous_mycelium						
Purpurepithecium	litter_saprotroph				leaf/fruit/seed		non-aquatic		Pinus_cones	filamentous_mycelium						
Actidiographium	wood_saprotroph				wood	soft_rot	non-aquatic			filamentous_mycelium	hysterothecium_(opening_slith-like)	closed				
Gloniella	wood_saprotroph				wood		partly_aquatic			filamentous_mycelium	hysterothecium_(opening_slith-like)	closed				
Gloniopsis	wood_saprotroph				wood	other	non-aquatic			filamentous_mycelium	hysterothecium_(opening_slith-like)	closed				
Hysterium	wood_saprotroph				wood	soft_rot	partly_aquatic			filamentous_mycelium	hysterothecium_(opening_slith-like)	closed				
Hysterobrevium	wood_saprotroph				wood	soft_rot	non-aquatic			filamentous_mycelium	hysterothecium_(opening_slith-like)	closed				
Hysterocarina	wood_saprotroph				wood	soft_rot	non-aquatic			filamentous_mycelium	hysterothecium_(opening_slith-like)	closed				
Hysterodifractum	wood_saprotroph				wood	other	non-aquatic			filamentous_mycelium	hysterothecium_(opening_slith-like)	closed				
Hysteroglonium	litter_saprotroph				leaf/fruit/seed	other	non-aquatic			filamentous_mycelium	other					
Oedohysterium	wood_saprotroph				wood	soft_rot	non-aquatic			filamentous_mycelium	hysterothecium_(opening_slith-like)	closed				
Ostreichnion	wood_saprotroph				wood	soft_rot	non-aquatic			filamentous_mycelium	hysterothecium_(opening_slith-like)	closed				
Pseudoscypha	litter_saprotroph				leaf/fruit/seed	other	non-aquatic			filamentous_mycelium						
Psiloglonium	wood_saprotroph				wood	soft_rot	non-aquatic			filamentous_mycelium	hysterothecium_(opening_slith-like)	closed				
Rhytidhysteron	wood_saprotroph				wood	soft_rot	partly_marine_(partly_non-aquatic)			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Graphyllium	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	hysterothecium_(opening_slith-like)	closed				
Aliquandostipite	wood_saprotroph				wood		freshwater			filamentous_mycelium						
Brachiosphaera	litter_saprotroph				leaf/fruit/seed	other	freshwater			filamentous_mycelium						
Jahnula	wood_saprotroph				wood	soft_rot	freshwater			filamentous_mycelium	"cleistothecium_(closed,_spherical)"	closed				
Megalohypha	wood_saprotroph				wood	soft_rot	freshwater			filamentous_mycelium						
Patescospora	wood_saprotroph				wood	soft_rot	partly_aquatic			filamentous_mycelium	"cleistothecium_(closed,_spherical)"	closed				
Xylomyces	wood_saprotroph				wood	soft_rot	aquatic			filamentous_mycelium	other					
Manglicola	wood_saprotroph				wood		partly_marine_(partly_non-aquatic)			filamentous_mycelium	"cleistothecium_(closed,_spherical)"	closed				
Kirschsteiniothelia	wood_saprotroph				wood	other	partly_aquatic			filamentous_mycelium	other					
Solicorynespora	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Taeniolella	lichen_parasite	fungal_decomposer			"fungal_material,algal_material"		partly_aquatic			filamentous_mycelium						
Brachysporiella	wood_saprotroph				wood		partly_freshwater_(partly_non-aquatic)			filamentous_mycelium	none	none				
Lichenothelia	lichen_parasite	fungal_decomposer			"fungal_material,algal_material"		non-aquatic			filamentous_mycelium						
Anungitopsis	litter_saprotroph				leaf/fruit/seed		non-aquatic			filamentous_mycelium	none	none				
Arnaudiella	wood_saprotroph				wood		non-aquatic			filamentous_mycelium						
Calothyriopsis	epiphyte	litter_saprotroph			leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Chaetothyriothecium	epiphyte	litter_saprotroph			leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Microthyrium	epiphyte	litter_saprotroph			leaf/fruit/seed		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Neoanungitea	epiphyte	litter_saprotroph			leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Paramicrothyrium	epiphyte	litter_saprotroph			leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Seynesiella	epiphyte	litter_saprotroph			leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Tumidispora	epiphyte	litter_saprotroph			leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Neoscolecobasidium	epiphyte	litter_saprotroph			leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Parazalerion	soil_saprotroph				soil		non-aquatic			filamentous_mycelium						
Acrogenospora	wood_saprotroph				wood		partly_freshwater_(partly_non-aquatic)			filamentous_mycelium						
Minutisphaera	wood_saprotroph				wood		partly_freshwater_(partly_non-aquatic)			filamentous_mycelium						
Acrocordia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			trentepohlioid	
Anisomeridium	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			trentepohlioid	
Caprettia	lichenized						non-aquatic			thallus_photosynthetic	"perithecium_(hymenium_hidden,_narrow_opening)"	closed			trentepohlioid	
Megalotremis	lichenized						non-aquatic			thallus_photosynthetic	"perithecium_(hymenium_hidden,_narrow_opening)"	closed			trentepohlioid	
Monoblastia	lichenized						non-aquatic			thallus_photosynthetic	"perithecium_(hymenium_hidden,_narrow_opening)"	closed			trentepohlioid	
Trypetheliopsis	lichenized						non-aquatic			thallus_photosynthetic	"perithecium_(hymenium_hidden,_narrow_opening)"	closed			trentepohlioid	
Murramarangomyces	plant_pathogen			unspecified_plant_pathogen			non-aquatic			filamentous_mycelium						
Arxiella	litter_saprotroph	plant_pathogen		leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Leptodiscella	litter_saprotroph				leaf/fruit/seed		non-aquatic			filamentous_mycelium	other					
Muyocopron	litter_saprotroph	foliar_endophyte	foliar_endophyte		leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Mycoleptodiscus	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	none	none				
Paramycoleptodiscus	litter_saprotroph				leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Elsinoe	plant_pathogen	litter_saprotroph		leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Elsino‘	plant_pathogen	litter_saprotroph		leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium						
